AÑO PAGO    F_PAGO      PENDIENTE      PAGAR/MES      C.INTERÉS   C.AMORTIZADO   E.AMORTIZADO
 20  249  Ene 2043       20306.49         239.86          17.77         222.09        1172.16
 20  250  Feb 2043       18912.23         225.86          16.55         209.31        1186.16
 20  251  Mar 2043       17516.76         211.53          15.33         196.21        1200.49
 20  252  Abr 2043       16120.07         196.87          14.11         182.77        1215.15
 21  253  May 2043       14722.15         181.86          12.88         168.98        1230.16
 21  254  Jun 2043       13323.02         166.49          11.66         154.83        1245.53
 21  255  Jul 2043       11922.65         150.74          10.43         140.31        1261.28
 21  256  Ago 2043       10521.07         134.60           9.21         125.40        1277.42
 21  257  Sep 2043        9118.25         118.06           7.98         110.09        1293.96
 21  258  Oct 2043        7714.21         101.11           6.75          94.36        1310.91
 21  259  Nov 2043        6308.94          83.71           5.52          78.19        1328.31
 21  260  Dic 2043        4902.44          65.87           4.29          61.58        1346.15
 21  261  Ene 2044        3494.71          47.55           3.06          44.49        1364.47
 21  262  Feb 2044        2085.75          28.74           1.83          26.92        1383.28
 21  263  Mar 2044         675.55           9.43           0.59           8.84        1402.59
 -------------------------------------------
Total de interes pagado  39525.36
Cantidad ahorrada        10511.82
Total amortizado             0.00
